Website Name,Breach Date,Date Added to HIBP,Compromised Accounts,Compromised Data
Flash Flash Revolution (2019 breach),16 July 2019,21 July 2019,"1,858,124","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Flashback,11 February 2015,12 February 2015,"40,256","Email addresses, Government issued IDs, Physical addresses"
FlexBooker,23 December 2021,6 January 2022,"3,756,794","Email addresses, Names, Partial credit card data, Passwords, Phone numbers"
Fling,10 March 2011,28 May 2016,"40,767,652","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Passwords, Phone numbers, Sexual fetishes, Sexual orientations, Usernames, Website activity"
Florida Virtual School,12 February 2018,18 March 2018,"542,902","Dates of birth, Email addresses, Names, Passwords, School grades (class levels), Usernames"
Foodora,22 April 2016,16 June 2020,"582,578","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Forbes,15 February 2014,15 February 2014,"1,057,819","Email addresses, Passwords, User website URLs, Usernames"
ForumCommunity,1 June 2016,5 December 2018,"776,648","Email addresses, Passwords, Usernames"
Fotolog,1 December 2018,15 June 2021,"16,717,854","Email addresses, Passwords, Usernames"
Foxy Bingo,4 April 2008,22 November 2015,"252,216","Account balances, Browser user agent details, Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Usernames, Website activity"
Freedom Hosting II,31 January 2017,5 February 2017,"380,830","Email addresses, Passwords, Usernames"
FreshMenu,1 July 2016,10 September 2018,"110,355","Device information, Email addresses, Names, Phone numbers, Physical addresses, Purchases"
Fridae,2 May 2014,6 May 2014,"35,368","Email addresses, Passwords, Usernames, Website activity"
Funimation,1 July 2016,20 February 2017,"2,491,103","Dates of birth, Email addresses, Passwords, Usernames"
Funny Games,28 April 2018,24 July 2018,"764,357","Email addresses, IP addresses, Passwords, Usernames"
Fur Affinity,17 May 2016,27 May 2016,"1,270,564","Email addresses, Passwords, Usernames"
Gaadi,14 May 2015,1 July 2018,"4,261,179","Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords, Phone numbers, Usernames"
Gab,26 February 2021,3 March 2021,"66,521","Avatars, Email addresses, Names, Passwords, Private messages, Usernames"
Gamerzplanet,23 October 2015,5 February 2016,"1,217,166","Email addresses, IP addresses, Passwords, Usernames"
GameSalad,24 February 2019,21 July 2019,"1,506,242","Email addresses, IP addresses, Passwords, Usernames"
GameTuts,1 March 2015,23 September 2016,"2,064,274","Email addresses, IP addresses, Passwords, Usernames"
Gamigo,1 March 2012,18 January 2016,"8,243,604","Email addresses, Passwords"
GateHub,4 June 2019,20 November 2019,"1,408,078","Email addresses, Encrypted keys, Mnemonic phrases, Passwords"
Gawker,11 December 2010,4 December 2013,"1,247,574","Email addresses, Passwords, Usernames"
Ge.tt,4 May 2017,16 February 2021,"2,481,121","Email addresses, Names, Passwords, Social media profiles"
GeekedIn,15 August 2016,17 November 2016,"1,073,164","Email addresses, Geographic locations, Names, Professional skills, Usernames, Years of professional experience"
Gemini,13 December 2022,16 December 2022,"5,274,214","Email addresses, Partial phone numbers"
Genesis Market,5 April 2023,5 April 2023,"8,000,000","Browser user agent details, Credit card CVV, Credit cards, Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
GeniusU,2 October 2020,8 January 2021,"1,301,460","Email addresses, Genders, IP addresses, Names, Passwords, Social media profiles"
Get Revenge On Your Ex,9 September 2022,15 November 2022,"79,195","Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Purchases"
GFAN,10 October 2016,10 October 2016,"22,526,334","Email addresses, IP addresses, Passwords, Usernames"
GGCorp,11 August 2022,8 November 2022,"2,376,330","Email addresses, IP addresses, Passwords, Usernames"
GiveSendGo,7 February 2022,15 February 2022,"89,966","Email addresses, Geographic locations, Names, Purchases"
Glofox,27 March 2020,10 January 2021,"2,330,735","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers"
Go Games,24 October 2015,11 January 2020,"3,430,083","Email addresses, IP addresses, Passwords, Usernames"
GoldSilver,21 October 2018,27 December 2018,"242,715","Bank account numbers, Email addresses, IP addresses, Names, Partial credit card data, Passport numbers, Phone numbers, Physical addresses, Purchases, Security questions and answers, Social security numbers"
gPotato,12 July 2007,24 September 2016,"2,136,520","Dates of birth, Email addresses, Genders, IP addresses, Names, Passwords, Physical addresses, Security questions and answers, Usernames, Website activity"
GPS Underground,1 July 2016,19 November 2019,"669,584","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Gravatar,3 October 2020,5 December 2021,"113,990,759","Email addresses, Names, Usernames"
GTAGaming,1 August 2016,23 August 2016,"197,184","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
GunAuction.com,3 December 2022,2 March 2023,"565,470","Browser user agent details, Email addresses, Genders, IP addresses, Partial credit card data, Partial dates of birth, Passwords, Phone numbers, Physical addresses, Usernames"
Guns and Robots,1 April 2016,14 February 2018,"143,569","Email addresses, IP addresses, Passwords, Usernames"
Guns.com,12 January 2021,13 January 2022,"375,928","Dates of birth, Email addresses, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses, Purchases"
Guntrader,17 July 2021,21 July 2021,"112,031","Browser user agent details, Email addresses, Geographic locations, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Salutations"
hackforums.net,25 June 2011,11 May 2014,"191,540","Dates of birth, Email addresses, Instant messenger identities, IP addresses, Passwords, Social connections, Spoken languages, Time zones, User website URLs, Usernames, Website activity"
Hacking Team,6 July 2015,12 July 2015,"32,310","Email addresses, Email messages"
HauteLook,7 August 2018,21 March 2019,"28,510,459","Dates of birth, Email addresses, Genders, Geographic locations, Names, Passwords"
Havenly,25 June 2020,1 August 2020,"1,369,180","Email addresses, Geographic locations, Names, Passwords, Phone numbers"
HDB Financial Services,22 February 2023,11 March 2023,"1,658,750","Dates of birth, Email addresses, Genders, Geographic locations, Loan information, Names, Phone numbers"
Health Now Networks,25 March 2017,7 April 2017,"321,920","Dates of birth, Email addresses, Genders, Health insurance information, IP addresses, Names, Personal health data, Phone numbers, Physical addresses, Security questions and answers, Social connections"
Hemmakväll,8 July 2015,9 July 2015,"47,297","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
hemmelig.com,21 December 2011,25 March 2014,"28,641","Email addresses, Genders, Nicknames, Partial dates of birth, Passwords, Usernames"
Heroes of Gaia,4 January 2013,7 November 2016,"179,967","Browser user agent details, Email addresses, IP addresses, Usernames, Website activity"
Heroes of Newerth,17 December 2012,24 January 2016,"8,089,103","Email addresses, Passwords, Usernames"
HiAPK,1 January 2014,1 April 2018,"13,873,674","Email addresses, Passwords, Usernames"
HLTV,19 June 2016,22 March 2017,"611,070","Email addresses, Names, Passwords, Usernames, Website activity"
Home Chef,10 February 2020,13 November 2020,"8,815,692","Email addresses, Geographic locations, IP addresses, Names, Partial credit card data, Passwords, Phone numbers"
HongFire,1 March 2015,5 February 2017,"999,991","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Hookers.nl,10 October 2019,23 October 2019,"290,955","Email addresses, IP addresses, Passwords, Usernames"
HoundDawgs,30 December 2017,3 January 2018,"45,701","Email addresses, IP addresses, Passwords, Website activity"
Houzz,23 May 2018,12 March 2019,"48,881,308","Email addresses, Geographic locations, IP addresses, Names, Passwords, Social media profiles, Usernames"
HTC Mania,4 January 2020,6 April 2020,"1,488,089","Dates of birth, Email addresses, Historical passwords, IP addresses, Passwords, Usernames"
HTH Studios,24 August 2018,20 November 2018,"411,755","Browser user agent details, Dates of birth, Email addresses, IP addresses, Names, Phone numbers, Physical addresses, Purchases, Usernames"
Hub4Tech,1 January 2017,9 December 2018,"36,916","Email addresses, Passwords"
Hurb,14 March 2019,27 July 2020,"20,727,771","Dates of birth, Email addresses, IP addresses, Names, Passwords, Phone numbers, Social media profiles"
iD Tech,3 January 2023,6 March 2023,"415,121","Dates of birth, Email addresses, Names, Passwords"
IDC Games,15 March 2021,17 November 2021,"3,966,871","Email addresses, Passwords, Usernames"
i-Dressup,15 July 2016,26 September 2016,"2,191,565","Email addresses, Passwords"
IIMJobs,31 December 2018,21 May 2021,"4,216,063","Dates of birth, Email addresses, Geographic locations, IP addresses, Job applications, Job titles, Names, Passwords, Phone numbers"
ILikeCheats,18 October 2014,22 April 2018,"188,847","Email addresses, IP addresses, Passwords, Usernames"
Imavex,20 August 2021,26 August 2021,"878,209","Email addresses, Genders, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses, Purchases, Usernames"
iMesh,22 September 2013,2 July 2016,"49,467,477","Email addresses, IP addresses, Passwords, Usernames"
imgur,1 September 2013,25 November 2017,"1,749,806","Email addresses, Passwords"
IndiaMART,23 May 2021,27 August 2021,"20,154,583","Email addresses, Names, Phone numbers, Physical addresses"
Indian Railways,28 October 2019,10 January 2020,"583,377","Email addresses, Passwords, Usernames"
Insanelyi,22 July 2014,22 July 2014,"104,097","Email addresses, Passwords, Usernames, Website activity"
Instant Checkmate,12 April 2019,4 February 2023,"11,943,887","Email addresses, Names, Passwords, Phone numbers"
Intelimost,10 March 2019,2 April 2019,"3,073,409","Email addresses, Passwords"
InterPals,4 November 2015,30 August 2016,"3,439,414","Dates of birth, Email addresses, Geographic locations, Names, Passwords, Usernames"
iPmart,1 July 2015,23 February 2016,"2,460,787","Dates of birth, Email addresses, Passwords, Usernames"
ixigo,3 January 2019,17 March 2019,"17,204,697","Auth tokens, Device information, Email addresses, Genders, Names, Passwords, Phone numbers, Salutations, Social media profiles, Usernames"
James,25 March 2020,5 November 2020,"1,541,284","Email addresses, Geographic locations, Passwords"
JD,1 January 2013,2 June 2021,"77,449,341","Email addresses, Passwords, Phone numbers, Usernames"
JD Group,31 May 2023,5 June 2023,"521,878","Email addresses, Government issued IDs, Names, Phone numbers, Physical addresses"
Jefit,11 August 2020,27 April 2021,"9,052,457","Email addresses, IP addresses, Passwords, Usernames"
Jobandtalent,1 February 2018,17 January 2021,"10,981,207","Email addresses, IP addresses, Names, Passwords"
JobStreet,7 March 2012,30 October 2017,"3,883,455","Dates of birth, Email addresses, Genders, Geographic locations, Government issued IDs, Marital statuses, Names, Nationalities, Passwords, Phone numbers, Physical addresses, Usernames"
JoomlArt,30 January 2018,1 November 2018,"22,477","Email addresses, Names, Passwords, Payment histories, Usernames"
JukinMedia,28 October 2021,17 July 2022,"314,290","Email addresses, Employers, IP addresses, Names, Occupations, Passwords, Phone numbers"
Justdate.com,29 September 2016,7 February 2017,"24,451,312","Dates of birth, Email addresses, Geographic locations, Names"
Kayo.moe Credential Stuffing List,11 September 2018,13 September 2018,"41,826,763","Email addresses, Passwords"
Kickstarter,16 February 2014,6 October 2017,"5,176,463","Email addresses, Passwords"
Kimsufi,1 May 2015,27 December 2016,"504,565","Email addresses, IP addresses, Passwords, Usernames"
KiwiFarms,10 September 2019,17 September 2019,"4,606","Avatars, Dates of birth, Email addresses, IP addresses, Website activity"
KM.RU,29 February 2016,3 March 2016,"1,476,783","Dates of birth, Email addresses, Genders, Geographic locations, Recovery email addresses, Security questions and answers, Usernames"
KnownCircle,12 April 2016,17 November 2018,"1,957,600","Email addresses, Email messages, Genders, Names, Passwords, Phone numbers, Physical addresses"
Knuddels,5 September 2018,8 April 2019,"808,330","Email addresses, Geographic locations, Names, Passwords, Usernames"
KomplettFritid,1 February 2021,23 January 2023,"139,401","Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses"
Kreditplus,23 June 2020,3 August 2020,"768,890","Dates of birth, Email addresses, Employers, Family structure, Genders, Income levels, Living costs, Marital statuses, Mothers maiden names, Names, Phone numbers, Physical addresses, Places of birth, Religions, Spouses names"
La Poste Mobile,4 July 2022,14 July 2022,"533,886","Bank account numbers, Dates of birth, Email addresses, Genders, Names, Phone numbers, Physical addresses"
Lanwar,28 July 2018,8 August 2018,"45,120","Email addresses, Names, Passwords, Physical addresses, Usernames"
Last.fm,22 March 2012,20 September 2016,"37,217,682","Email addresses, Passwords, Usernames, Website activity"
Lazada RedMart,30 July 2020,10 November 2020,"1,107,789","Email addresses, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses"
LBB,14 February 2019,5 March 2023,"39,288","Browser user agent details, Email addresses, IP addresses, Names, Physical addresses"
Lead Hunter,4 March 2020,3 June 2020,"68,693,853","Email addresses, Genders, IP addresses, Names, Phone numbers, Physical addresses"
League of Legends,11 June 2012,28 July 2018,"339,487","Email addresses, Passwords, Usernames"
Leaked Reality,31 January 2022,31 March 2023,"114,907","Email addresses, IP addresses, Passwords, Usernames"
Ledger,25 June 2020,20 December 2020,"1,075,241","Email addresses, Names, Phone numbers, Physical addresses"
Leet,10 September 2016,30 September 2016,"5,081,689","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Lifebear,28 February 2019,25 May 2020,"3,670,561","Email addresses, Passwords, Usernames"
Lifeboat,1 January 2016,25 April 2016,"7,089,395","Email addresses, Passwords, Usernames"
Light's Hope,25 June 2018,4 July 2018,"30,484","Dates of birth, Email addresses, Geographic locations, IP addresses, Passwords, Private messages, Usernames"
Liker,8 March 2021,13 March 2021,"465,141","Auth tokens, Dates of birth, Education levels, Email addresses, Geographic locations, IP addresses, Names, Passwords, Phone numbers, Private messages, Security questions and answers, Social media profiles, Usernames"
LimeVPN,8 October 2020,6 February 2023,"23,348","Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Purchases"
LinkedIn,5 May 2012,21 May 2016,"164,611,595","Email addresses, Passwords"
LinkedIn Scraped Data,8 April 2021,2 October 2021,"125,698,496","Education levels, Email addresses, Genders, Geographic locations, Job titles, Names, Social media profiles"
Linux Forums,1 May 2018,7 June 2018,"275,785","Email addresses, IP addresses, Passwords, Usernames"
Linux Mint,21 February 2016,22 February 2016,"144,989","Avatars, Dates of birth, Email addresses, Geographic locations, IP addresses, Passwords, Time zones, Website activity"
Little Monsters,1 January 2017,7 March 2017,"995,698","Dates of birth, Email addresses, Passwords, Usernames"
LiveAuctioneers,19 June 2020,22 August 2020,"3,385,862","Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
LiveJournal,1 January 2017,26 May 2020,"26,372,781","Email addresses, Passwords, Usernames"
Livpure,29 August 2020,22 May 2021,"269,552","Email addresses, Names, Phone numbers, Physical addresses, Purchases, Salutations"
Lizard Squad,16 January 2015,18 January 2015,"13,451","Email addresses, Passwords, Usernames"
Lolzteam,13 May 2018,6 November 2022,"398,011","Email addresses, Usernames"
Lookbook,24 August 2012,8 November 2016,"1,074,948","Dates of birth, Email addresses, IP addresses, Names, Passwords, Usernames, Website activity"
Lord of the Rings Online,1 August 2013,12 March 2016,"1,141,278","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
Lounge Board,1 August 2013,6 July 2014,"45,018","Email addresses, IP addresses, Names, Passwords, Private messages, Usernames, Website activity"
Lumin PDF,1 April 2019,18 September 2019,"15,453,048","Auth tokens, Email addresses, Genders, Names, Passwords, Spoken languages, Usernames"
Luxottica,16 March 2021,19 May 2023,"77,093,812","Dates of birth, Email addresses, Genders, Names, Phone numbers, Physical addresses"
Lyrics Mania,21 December 2017,15 January 2018,"109,202","Email addresses, Passwords, Usernames"
Mac Forums,3 July 2016,29 October 2018,"326,714","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
MacGeneration,29 January 2022,3 March 2022,"101,004","Email addresses, Passwords, Usernames"
Mac-Torrents,31 October 2015,31 October 2015,"93,992","Email addresses, Passwords, Usernames"
mail.ru Dump,10 September 2014,12 September 2014,"16,630,988","Email addresses, Passwords"
MajorGeeks,15 November 2015,3 March 2016,"269,548","Email addresses, IP addresses, Passwords, Usernames"
MALL.cz,27 July 2017,4 September 2017,"735,405","Email addresses, Names, Passwords, Phone numbers"
Malwarebytes,15 November 2014,9 March 2016,"111,623","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
Manga Traders,9 June 2014,10 June 2014,"855,249","Email addresses, Passwords"
MangaDex,22 March 2021,25 April 2021,"2,987,329","Email addresses, IP addresses, Passwords, Usernames"
MangaFox.me,1 June 2016,17 March 2018,"1,311,610","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Mangatoon,13 May 2022,6 July 2022,"23,040,238","Auth tokens, Avatars, Email addresses, Genders, Names, Passwords, Social media profiles, Usernames"
Mappery,11 December 2018,18 December 2018,"205,242","Email addresses, Geographic locations, Passwords, Usernames"
Mashable,1 June 2020,10 November 2020,"1,414,677","Auth tokens, Email addresses, Genders, Geographic locations, IP addresses, Names, Partial dates of birth, Social media profiles"
Master Deeds,14 March 2017,18 October 2017,"2,257,930","Dates of birth, Deceased statuses, Email addresses, Employers, Ethnicities, Genders, Government issued IDs, Home ownership statuses, Job titles, Names, Nationalities, Phone numbers, Physical addresses"
Mastercard Priceless Specials,20 August 2019,1 September 2019,"89,388","Email addresses, IP addresses, Names, Partial credit card data, Phone numbers, Salutations"
Mate1.com,29 February 2016,14 April 2016,"27,393,015","Astrological signs, Dates of birth, Drinking habits, Drug habits, Education levels, Email addresses, Ethnicities, Fitness levels, Genders, Geographic locations, Income levels, Job titles, Names, Parenting plans, Passwords, Personal descriptions, Physical attributes, Political views, Relationship statuses, Religions, Sexual fetishes, Travel habits, Usernames, Website activity, Work habits"
Mathway,13 January 2020,5 June 2020,"25,692,862","Device information, Email addresses, Names, Passwords, Social media profiles"
MCBans,27 October 2016,23 July 2017,"119,948","Email addresses, IP addresses, Passwords, Usernames, Website activity"
MDPI,30 August 2016,25 March 2018,"845,012","Email addresses, Email messages, IP addresses, Names"
Mecho Download,31 October 2013,2 August 2022,"437,928","Email addresses, IP addresses, Passwords, Usernames"
MeetMindful,26 January 2020,31 January 2021,"1,422,717","Dates of birth, Drinking habits, Drug habits, Email addresses, Genders, Geographic locations, IP addresses, Marital statuses, Names, Passwords, Physical attributes, Religions, Sexual orientations, Smoking habits, Social media profiles, Usernames"
MEO,24 December 2020,24 April 2023,"8,227","Email addresses, Names, Passwords, Phone numbers, Physical addresses, Purchases, Usernames"
MGM Resorts,25 July 2019,20 February 2020,"3,081,321","Dates of birth, Email addresses, Names, Phone numbers, Physical addresses"
MGM Resorts (2022 Update),25 July 2019,29 May 2022,"24,842,001","Dates of birth, Email addresses, Names, Phone numbers, Physical addresses"
MindJolt,18 March 2019,13 July 2019,"28,364,826","Dates of birth, Email addresses, Names"
Minecraft Pocket Edition Forum,24 May 2015,30 June 2015,"16,034","Email addresses, IP addresses, Passwords, Usernames"
Minecraft World Map,15 January 2016,29 August 2016,"71,081","Email addresses, IP addresses, Passwords, Usernames"
Minefield,28 June 2015,9 March 2016,"188,343","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
Minehut,17 May 2019,17 September 2019,"396,533","Email addresses, Passwords"
Minted,6 May 2020,3 November 2020,"4,418,182","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
MMG Fusion,20 December 2020,7 August 2021,"2,660,295","Appointments, Dates of birth, Email addresses, Genders, Marital statuses, Names, Passwords, Phone numbers, Physical addresses"
MobiFriends,6 January 2020,23 May 2021,"3,512,952","Dates of birth, Email addresses, Genders, Passwords, Usernames"
MoDaCo,1 January 2016,20 September 2016,"879,703","Email addresses, IP addresses, Passwords, Usernames"
Modern Business Solutions,8 October 2016,12 October 2016,"58,843,488","Dates of birth, Email addresses, Genders, IP addresses, Job titles, Names, Phone numbers, Physical addresses"
Money Bookers,1 January 2009,30 November 2015,"4,483,605","Dates of birth, Email addresses, IP addresses, Names, Phone numbers, Physical addresses"
Moneycontrol,7 September 2017,22 May 2021,"762,874","Email addresses, Genders, Geographic locations, Passwords, Phone numbers"
Morele.net,10 October 2018,20 April 2019,"2,467,304","Email addresses, Names, Passwords, Phone numbers"
Mortal Online,17 June 2018,31 August 2018,"606,637","Email addresses, Names, Passwords, Physical addresses, Usernames"
MPGH,22 October 2015,26 October 2015,"3,122,898","Email addresses, IP addresses, Passwords, Usernames"
MrExcel,5 December 2016,22 January 2017,"366,140","Dates of birth, Email addresses, IP addresses, Passwords, Social connections, Usernames, Website activity"
mSpy,14 May 2015,28 May 2015,"699,793",Device usage tracking data
Muslim Directory,17 February 2014,23 February 2014,"37,784","Age groups, Email addresses, Employers, Names, Passwords, Phone numbers, Physical addresses, Website activity"
Muslim Match,24 June 2016,29 June 2016,"149,830","Chat logs, Email addresses, Geographic locations, IP addresses, Passwords, Private messages, User statuses, Usernames"
MyFHA,18 February 2015,9 August 2018,"972,629","Credit status information, Email addresses, Income levels, IP addresses, Loan information, Names, Passwords, Personal descriptions, Physical addresses"
MyFitnessPal,1 February 2018,21 February 2019,"143,606,147","Email addresses, IP addresses, Passwords, Usernames"
MyHeritage,26 October 2017,20 February 2019,"91,991,358","Email addresses, Passwords"
myRepoSpace,6 July 2015,8 July 2015,"252,751","Email addresses, IP addresses, Passwords, Usernames"
MySpace,1 July 2008,31 May 2016,"359,420,698","Email addresses, Passwords, Usernames"
MyVidster,15 August 2015,10 October 2015,"19,863","Email addresses, Passwords, Usernames"
Nameless Malware,1 January 2020,9 June 2021,"1,121,484",Email addresses
NapsGear,21 October 2015,10 September 2018,"287,071","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Purchases"
Naughty America,14 March 2016,24 April 2016,"1,398,630","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
NemoWeb,4 September 2016,19 September 2018,"3,472,916","Email addresses, Names"
Neopets,5 May 2013,7 July 2016,"26,892,897","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords, Usernames"
NetEase,19 October 2015,9 October 2016,"234,842,089","Email addresses, Passwords"
Neteller,17 May 2010,30 November 2015,"3,619,948","Account balances, Dates of birth, Email addresses, Genders, IP addresses, Names, Phone numbers, Physical addresses, Security questions and answers, Website activity"
NetGalley,21 December 2020,23 February 2021,"1,436,435","Dates of birth, Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
Netlog,1 November 2012,15 July 2019,"49,038,354","Email addresses, Passwords"
NetProspex,1 September 2016,15 March 2017,"33,698,126","Email addresses, Employers, Job titles, Names, Phone numbers, Physical addresses"
Netshoes,7 December 2017,10 December 2017,"499,836","Dates of birth, Email addresses, Names, Purchases"
NextGenUpdate,22 April 2014,5 June 2015,"1,194,597","Email addresses, IP addresses, Passwords, Usernames"
Nexus Mods,22 July 2013,17 January 2016,"5,915,013","Email addresses, Passwords, Usernames"
Nihonomaru,1 December 2015,30 August 2016,"1,697,282","Email addresses, IP addresses, Passwords, Usernames"
Nitro,28 September 2020,19 January 2021,"77,159,696","Email addresses, Names, Passwords"
Nival,29 February 2016,3 March 2016,"1,535,473","Avatars, Dates of birth, Email addresses, Genders, Names, Spoken languages, Usernames, Website activity"
Non Nude Girls,21 May 2013,25 January 2017,"75,383","Email addresses, IP addresses, Names, Passwords, Usernames, Website activity"
Not Acxiom,21 June 2020,22 November 2022,"51,730,831","Email addresses, IP addresses, Names, Phone numbers, Physical addresses"
Nulled.ch,20 May 2020,24 May 2020,"43,491","Email addresses, IP addresses, Passwords, Private messages, Usernames"
Nulled.cr,6 May 2016,9 May 2016,"599,080","Dates of birth, Email addresses, IP addresses, Passwords, Private messages, Usernames, Website activity"
NurseryCam,12 February 2021,23 February 2021,"10,585",Email addresses
NVIDIA,23 February 2022,2 March 2022,"71,335","Email addresses, Passwords"
OGUsers (2019 breach),26 December 2018,19 May 2019,"161,143","Email addresses, IP addresses, Passwords, Private messages, Usernames"
OGUsers (2020 breach),2 April 2020,4 April 2020,"263,189","Email addresses, IP addresses, Passwords, Private messages, Usernames"
OGUsers (2021 breach),11 April 2021,16 May 2022,"348,302","Email addresses, IP addresses, Passwords, Usernames"
OGUsers (2022 breach),13 July 2022,14 April 2023,"529,020","Email addresses, IP addresses, Passwords, Usernames"
Onliner Spambot,28 August 2017,29 August 2017,"711,477,622","Email addresses, Passwords"
Onverse,1 January 2016,6 September 2016,"800,157","Email addresses, IP addresses, Passwords, Usernames"
Open CS:GO,28 November 2017,15 January 2018,"512,311","Avatars, Email addresses, IP addresses, Phone numbers, Physical addresses, Purchases, Social media profiles, Usernames"
Open Subtitles,1 August 2021,19 January 2022,"6,783,158","Email addresses, Geographic locations, IP addresses, Passwords, Usernames"
OrderSnapp,29 June 2020,8 August 2021,"1,304,447","Dates of birth, Email addresses, Names, Passwords, Phone numbers"
Ordine Avvocati di Roma,7 May 2019,26 May 2019,"41,960","Email addresses, Email messages, Geographic locations, Passwords, Phone numbers"
OVH,1 May 2015,27 December 2016,"452,899","Email addresses, IP addresses, Passwords, Usernames"
OwnedCore,1 August 2013,6 February 2016,"880,331","Email addresses, IP addresses, Passwords, Usernames"
Oxfam,20 January 2021,2 March 2021,"1,834,006","Bank account numbers, Dates of birth, Email addresses, Genders, Names, Partial credit card data, Payment histories, Phone numbers, Physical addresses"
Paddy Power,25 October 2010,11 October 2015,"590,954","Account balances, Dates of birth, Email addresses, IP addresses, Names, Phone numbers, Physical addresses, Security questions and answers, Usernames, Website activity"
Paragon Cheats,22 May 2021,14 May 2022,"188,089","Browser user agent details, Email addresses, IP addresses, Usernames"
ParkMobile,21 March 2021,30 April 2021,"20,949,825","Email addresses, Licence plates, Names, Passwords, Phone numbers"
Patreon,1 October 2015,2 October 2015,"2,330,382","Email addresses, Passwords, Payment histories, Physical addresses, Private messages, Website activity"
PayAsUGym,15 December 2016,17 December 2016,"400,260","Browser user agent details, Email addresses, IP addresses, Names, Partial credit card data, Passwords, Phone numbers, Website activity"
PayHere,27 March 2022,2 May 2022,"1,580,249","Email addresses, IP addresses, Names, Partial credit card data, Phone numbers, Physical addresses, Purchases"
Paytm,30 August 2020,26 July 2022,"3,395,101","Dates of birth, Email addresses, Genders, Geographic locations, Income levels, Names, Phone numbers, Purchases"
Peatix,20 January 2019,6 December 2020,"4,227,907","Email addresses, Names, Passwords"
Pemiblanc,2 April 2018,9 July 2018,"110,964,206","Email addresses, Passwords"
People's Energy,16 December 2020,23 February 2021,"358,822","Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses"
PetFlow,9 December 2017,26 May 2020,"990,919","Email addresses, Passwords"
Phone House España,8 April 2021,22 April 2021,"5,223,350","Dates of birth, Email addresses, Genders, Names, Nationalities, Phone numbers, Physical addresses"
